fecha,cierre_martes,fuente_precio,open_interest,noncomm_long,noncomm_short,noncomm_spreads,comm_long,comm_short,nonrep_long,nonrep_short,mm_long,mm_short,mm_spreads,swap_long,swap_short,swap_spreads,prod_long,prod_short,other_long,other_short,other_spreads,conc_4_long,conc_4_short,conc_8_long,conc_8_short,traders_total,traders_noncomm_long,traders_noncomm_short
1986-01-15,346.75,spot,148186,18589,7706,12038,80962,89990,36597,38452,,,,,,,,,,,,18.2,12.1,24.4,16.5,110,33,21
1986-01-31,350.5,spot,144149,15364,9303,10088,82262,85250,36435,39508,,,,,,,,,,,,21.6,14.2,27.2,18.9,99,24,22
1986-02-14,331.35,spot,139995,5457,12229,10330,94830,76735,29378,40701,,,,,,,,,,,,28.7,13.3,32.6,18.1,91,15,23
1986-02-28,338.15,spot,143752,7991,12222,13205,94126,76200,28430,42125,,,,,,,,,,,,26.9,12.3,30.5,15.8,97,18,28
1986-03-14,348.0,spot,142868,12637,11015,11390,85925,78653,32916,41810,,,,,,,,,,,,25.8,13.7,29.9,18.9,100,28,23
1986-03-31,344.0,spot,136568,9817,11406,6002,88897,67171,31852,51989,,,,,,,,,,,,29.6,13.2,35.2,16.8,80,14,23
1986-04-15,341.75,spot,138825,6805,20416,3121,99640,67997,29259,47291,,,,,,,,,,,,34.3,14.0,40.3,20.5,85,9,28
1986-04-30,345.75,spot,132088,8159,10519,3987,88769,72810,31173,44772,,,,,,,,,,,,32.9,18.2,37.7,22.5,88,16,25
1986-05-15,342.0,spot,132147,4649,10375,7467,94944,71660,25087,42645,,,,,,,,,,,,33.3,13.8,38.6,18.0,80,8,24
1986-05-30,343.2,spot,115038,4982,13683,5535,78662,56902,25859,38918,,,,,,,,,,,,34.0,14.8,38.7,19.0,78,9,26
1986-06-13,346.2,spot,115960,11657,10839,5447,69558,66942,29298,32732,,,,,,,,,,,,30.4,16.1,35.0,20.3,90,22,18
1986-06-30,346.75,spot,120954,5361,13631,5988,88561,62551,21044,38784,,,,,,,,,,,,37.7,13.9,42.6,17.9,82,10,23
1986-07-15,346.0,spot,121925,6735,11983,5771,86078,67675,23341,36496,,,,,,,,,,,,32.7,14.3,37.1,18.0,83,14,20
1986-07-31,357.5,spot,125988,18617,9540,6294,69897,71940,31180,38214,,,,,,,,,,,,21.7,14.6,28.2,18.9,90,25,16
1986-08-15,385.1,spot,134903,23234,10589,7013,67333,82453,37323,34848,,,,,,,,,,,,19.6,15.6,25.1,20.1,94,29,17
1986-08-29,384.7,spot,136959,23229,10291,7561,69541,84510,36628,34597,,,,,,,,,,,,21.5,15.0,27.4,19.7,99,29,21
1986-09-15,413.0,spot,149809,24807,10423,12560,69388,95797,43054,31029,,,,,,,,,,,,17.6,15.8,23.8,22.4,99,30,19
1986-09-30,423.2,spot,136574,22421,7840,11149,57513,85239,45491,32346,,,,,,,,,,,,19.1,17.7,24.2,23.8,100,29,21
1986-10-15,422.0,spot,147411,21274,10239,9744,70584,89512,45809,37916,,,,,,,,,,,,16.5,14.6,21.5,19.6,99,28,23
1986-10-31,401.0,spot,146778,12673,9373,8897,79221,90456,45987,38052,,,,,,,,,,,,20.1,14.1,23.3,20.2,93,25,17
1986-11-14,408.25,spot,150800,15816,11905,6141,86136,94132,42707,38622,,,,,,,,,,,,18.6,13.7,22.9,19.5,97,30,20
1986-11-28,389.5,spot,131679,10148,8849,5360,79143,81278,37028,36192,,,,,,,,,,,,20.1,14.9,23.2,20.1,71,18,14
1986-12-15,394.3,spot,134005,13089,11027,6366,76757,80007,37793,36605,,,,,,,,,,,,22.0,14.0,25.2,19.2,82,21,19
1986-12-31,388.75,spot,140744,9405,8347,8187,81948,86647,41204,37563,,,,,,,,,,,,23.9,14.6,26.5,20.3,70,15,18
1987-01-15,416.25,spot,139318,14063,8147,6306,68344,87902,50605,36963,,,,,,,,,,,,17.7,15.8,21.5,21.5,77,22,16
1987-01-30,400.5,spot,130078,13453,9022,7277,62992,78194,46356,35585,,,,,,,,,,,,14.7,15.6,17.6,21.1,84,24,19
1987-02-13,397.35,spot,138130,7705,14024,6614,81749,77255,42062,40237,,,,,,,,,,,,17.7,12.4,21.2,16.9,92,20,28
