fecha,volumen,open_interest,estado,contrato_activo
2025-08-15,132215,440051,final,GCZ25
2025-08-18,129128,439893,final,GCZ25
2025-08-19,148394,438541,final,GCZ25
2025-08-20,149905,437695,final,GCZ25
2025-08-21,135619,434098,final,GCZ25
2025-08-22,204661,438806,final,GCZ25
2025-08-25,107537,442378,final,GCZ25
2025-08-26,194487,443760,final,GCZ25
2025-08-27,174096,448916,final,GCZ25
2025-08-28,173462,456226,final,GCZ25
2025-08-29,207110,471240,final,GCZ25
2025-09-02,407646,492908,final,GCZ25
2025-09-03,243321,494776,final,GCZ25
2025-09-04,254684,495368,final,GCZ25
2025-09-05,262651,501157,final,GCZ25
2025-09-08,256986,503285,final,GCZ25
2025-09-09,290439,509625,final,GCZ25
2025-09-10,201375,510076,final,GCZ25
2025-09-11,236381,510383,final,GCZ25
2025-09-12,174242,512181,final,GCZ25
2025-09-15,208695,519611,final,GCZ25
2025-09-16,214622,516221,final,GCZ25
2025-09-17,279690,517578,final,GCZ25
2025-09-18,243188,515612,final,GCZ25
2025-09-19,207987,522306,final,GCZ25
2025-09-22,248004,530457,final,GCZ25
2025-09-23,330734,528789,final,GCZ25
2025-09-24,265431,526067,final,GCZ25
2025-09-25,299614,516312,final,GCZ25
2025-09-26,245529,513357,final,GCZ25
2025-09-29,281594,517465,final,GCZ25
2025-09-30,336239,493748,final,GCZ25
2025-10-01,312531,491059,final,GCZ25
2025-10-02,304647,484786,final,GCZ25
2025-10-03,230839,479525,final,GCZ25
2025-10-06,295216,483672,final,GCZ25
2025-10-07,333332,485559,final,GCZ25
2025-10-08,383245,490496,final,GCZ25
2025-10-09,514387,483650,final,GCZ25
2025-10-10,387955,482976,final,GCZ25
2025-10-13,333731,486887,final,GCZ25
2025-10-14,429365,485788,final,GCZ25
2025-10-15,327800,487873,final,GCZ25
2025-10-16,403735,483770,final,GCZ25
2025-10-17,611632,479971,final,GCZ25
2025-10-20,368326,475938,final,GCZ25
2025-10-21,577546,472421,final,GCZ25
2025-10-22,507114,463789,final,GCZ25
2025-10-23,288886,464096,final,GCZ25
2025-10-24,313806,464052,final,GCZ25
2025-10-27,355604,463706,final,GCZ25
2025-10-28,365142,457122,final,GCZ25
2025-10-29,312358,456178,final,GCZ25
2025-10-30,269052,456333,final,GCZ25
2025-10-31,259051,449900,final,GCZ25
2025-11-03,247792,452773,final,GCZ25
2025-11-04,277749,450399,final,GCZ25
2025-11-05,201342,453313,final,GCZ25
2025-11-06,222053,452487,final,GCZ25
2025-11-07,265119,455161,final,GCZ25
2025-11-10,316099,459997,final,GCZ25
2025-11-11,326438,466031,final,GCZ25
2025-11-12,381612,480255,final,GCZ25
2025-11-13,408927,480877,final,GCZ25
2025-11-14,404043,477283,final,GCZ25
2025-11-17,272792,474390,final,GCZ25
2025-11-18,285182,471953,final,GCZ25
2025-11-19,289003,467893,final,GCZ25
2025-11-20,350934,470585,final,GCZ25
2025-11-21,360559,470349,final,GCZ25
2025-11-24,348958,442270,final,GCZ25
2025-11-25,380504,432946,final,GCG26
2025-11-26,229978,431603,final,GCG26
2025-11-28,167020,419484,final,GCG26
2025-12-01,249871,418697,final,GCG26
2025-12-02,237238,418490,final,GCG26
2025-12-03,193893,423395,final,GCG26
2025-12-04,181431,426136,final,GCG26
2025-12-05,225349,426860,final,GCG26
2025-12-08,168463,427425,final,GCG26
2025-12-09,202899,432569,final,GCG26
2025-12-10,219896,440368,final,GCG26
2025-12-11,258763,454262,final,GCG26
2025-12-12,318667,460191,final,GCG26
2025-12-15,223993,466073,final,GCG26
2025-12-16,232091,471093,final,GCG26
2025-12-17,232327,478188,final,GCG26
2025-12-18,258811,484610,final,GCG26
2025-12-19,181095,487043,final,GCG26
2025-12-22,228938,499192,final,GCG26
2025-12-23,272816,492103,final,GCG26
2025-12-24,167105,488300,final,GCG26
2025-12-26,203018,492660,final,GCG26
2025-12-29,347015,479786,final,GCG26
2025-12-30,228283,481866,final,GCG26
2025-12-31,186323,476471,final,GCG26
2026-01-02,174245,482412,final,GCG26
2026-01-05,249207,480541,final,GCG26
2026-01-06,207208,488116,final,GCG26
2026-01-07,234813,489300,final,GCG26
2026-01-08,279144,493909,final,GCG26
2026-01-09,288762,499546,final,GCG26
2026-01-12,383200,525246,final,GCG26
2026-01-13,345149,527455,final,GCG26
2026-01-14,392771,523548,final,GCG26
2026-01-15,266268,521959,final,GCG26
2026-01-16,284841,511475,final,GCG26
2026-01-20,492565,528004,final,GCG26
2026-01-21,500520,532136,final,GCG26
2026-01-22,357149,541033,final,GCG26
2026-01-23,374878,539164,final,GCG26
2026-01-26,655762,525061,final,GCG26
2026-01-27,536168,488463,final,GCG26
2026-01-28,566420,465123,final,GCJ26
2026-01-29,652473,451510,final,GCJ26
2026-01-30,585928,425516,final,GCJ26
2026-02-02,447704,414776,final,GCJ26
2026-02-03,287492,409694,final,GCJ26
2026-02-04,286515,407643,final,GCJ26
2026-02-05,267752,400952,final,GCJ26
2026-02-06,207979,401609,final,GCJ26
2026-02-09,153802,404446,final,GCJ26
2026-02-10,125161,404391,final,GCJ26
2026-02-11,161587,408069,final,GCJ26
2026-02-12,188698,406408,final,GCJ26
2026-02-13,145433,408683,final,GCJ26
2026-02-17,188205,407078,final,GCJ26
2026-02-18,113624,410177,final,GCJ26
2026-02-19,97684,409585,final,GCJ26
2026-02-20,151822,416190,final,GCJ26
2026-02-23,155403,417008,final,GCJ26
2026-02-24,163960,420182,final,GCJ26
2026-02-25,124605,408053,final,GCJ26
2026-02-26,148348,407015,final,GCJ26
2026-02-27,168610,409142,final,GCJ26
2026-03-02,254002,409669,final,GCJ26
2026-03-03,316434,409789,final,GCJ26
2026-03-04,168700,413734,final,GCJ26
2026-03-05,182546,411477,final,GCJ26
2026-03-06,209752,405841,final,GCJ26
2026-03-09,229480,404829,final,GCJ26
2026-03-10,237025,413956,final,GCJ26
2026-03-11,194460,415682,final,GCJ26
2026-03-12,200042,422948,final,GCJ26
2026-03-13,195280,419030,final,GCJ26
2026-03-16,212889,412183,final,GCJ26
2026-03-17,148107,411388,final,GCJ26
2026-03-18,278512,412035,final,GCJ26
2026-03-19,399979,405419,final,GCJ26
2026-03-20,287940,399397,final,GCJ26
2026-03-23,559242,406224,final,GCJ26
2026-03-24,291808,403925,final,GCJ26
2026-03-25,358172,406004,final,GCJ26
2026-03-26,399495,377717,final,GCJ26
2026-03-27,306700,368300,final,GCM26
2026-03-30,181381,367310,final,GCM26
2026-03-31,197318,361409,final,GCM26
2026-04-01,183530,357136,final,GCM26
2026-04-02,209006,354581,final,GCM26
2026-04-06,97092,355510,final,GCM26
2026-04-07,155779,354877,final,GCM26
2026-04-08,240591,357399,final,GCM26
2026-04-09,152646,358616,final,GCM26
2026-04-10,140301,357178,final,GCM26
2026-04-13,144508,357861,final,GCM26
2026-04-14,148388,362274,final,GCM26
2026-04-15,116943,361666,final,GCM26
2026-04-16,119846,362456,final,GCM26
2026-04-17,151158,368202,final,GCM26
2026-04-20,135744,366491,final,GCM26
2026-04-21,192849,365842,final,GCM26
2026-04-22,109598,366008,final,GCM26
2026-04-23,169942,364471,final,GCM26
2026-04-24,117139,365451,final,GCM26
2026-04-27,100118,366322,final,GCM26
2026-04-28,161017,369530,final,GCM26
2026-04-29,138103,367330,final,GCM26
2026-04-30,132133,367046,final,GCM26
2026-05-01,108527,368738,final,GCM26
2026-05-04,130361,369551,final,GCM26
2026-05-05,103620,367932,final,GCM26
2026-05-06,186921,371703,final,GCM26
2026-05-07,207814,373965,final,GCM26
2026-05-08,156326,371349,final,GCM26
2026-05-11,183673,374344,final,GCM26
2026-05-12,192516,376496,final,GCM26
2026-05-13,162213,381564,final,GCM26
2026-05-14,124192,384401,final,GCM26
2026-05-15,198205,379800,final,GCM26
2026-05-18,188390,379360,final,GCM26
2026-05-19,170681,379325,final,GCM26
2026-05-20,209926,374666,final,GCM26
2026-05-21,225686,370607,final,GCM26
2026-05-22,158065,366511,final,GCM26
2026-05-26,409705,353489,final,GCM26
2026-05-27,301987,345705,final,GCQ26
2026-05-28,184334,347186,final,GCQ26
2026-05-29,148446,326581,final,GCQ26
2026-06-01,128603,326341,final,GCQ26
2026-06-02,110192,326052,final,GCQ26
2026-06-03,119880,328026,final,GCQ26
2026-06-04,119545,328219,final,GCQ26
2026-06-05,201577,332858,final,GCQ26
2026-06-08,156016,331156,final,GCQ26
2026-06-09,160487,332709,final,GCQ26
2026-06-10,225114,336535,final,GCQ26
2026-06-11,232714,341279,final,GCQ26
2026-06-12,150828,339126,final,GCQ26
2026-06-15,148100,339376,final,GCQ26
2026-06-16,99679,339330,final,GCQ26
2026-06-17,181188,337945,final,GCQ26
2026-06-18,156618,343252,final,GCQ26
2026-06-22,198220,350660,final,GCQ26
2026-06-23,132732,352167,final,GCQ26
2026-06-24,213396,357716,final,GCQ26
2026-06-25,172707,360560,final,GCQ26
2026-06-26,135947,361274,final,GCQ26
2026-06-29,118805,365267,final,GCQ26
2026-06-30,140727,369541,final,GCQ26
2026-07-01,167596,367085,final,GCQ26
2026-07-02,145515,368117,final,GCQ26
2026-07-06,166691,371968,final,GCQ26
2026-07-07,131313,371776,final,GCQ26
2026-07-08,214083,371430,final,GCQ26
2026-07-09,136370,378163,final,GCQ26
2026-07-10,130880,377632,final,GCQ26
2026-07-13,204285,379756,final,GCQ26
2026-07-14,197966,383689,final,GCQ26
2026-07-15,143347,386870,final,GCQ26
2026-07-16,147983,385082,final,GCQ26
2026-07-17,134763,381507,final,GCQ26
2026-07-20,127463,380769,final,GCQ26
2026-07-21,153850,383368,final,GCQ26
2026-07-22,182264,387235,final,GCQ26
2026-07-23,228936,388215,final,GCQ26
2026-07-24,178469,374758,final,GCQ26
2026-07-27,213170,375358,final,GCQ26
2026-07-28,298726,384603,final,GCQ26
2026-07-29,313535,382464,final,GCZ26
2026-07-30,202989,383888,final,GCZ26
2026-07-31,128550,380474,final,GCZ26
2026-08-03,110285,367390,final,GCZ26
2026-08-04,136835,371551,final,GCZ26
2026-08-05,255698,391331,final,GCZ26
2026-08-06,201455,387986,final,GCZ26
2026-08-07,231259,397702,final,GCZ26
2026-08-10,142327,399623,final,GCZ26
2026-08-11,162896,400309,final,GCZ26
2026-08-12,186126,403662,final,GCZ26
2026-08-13,168270,401561,final,GCZ26
2026-08-14,148772,406848,preliminar,GCZ26
